id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords
2244,EDLP,medium_airport,Paderborn Lippstadt Airport,51.614101,8.61632,699,EU,DE,DE-NW,Büren,yes,EDLP,PAD,,,https://en.wikipedia.org/wiki/Paderborn_Lippstadt_Airport,
2246,EDLV,medium_airport,Weeze Airport,51.6024017334,6.14216995239,106,EU,DE,DE-NW,Weeze,yes,EDLV,NRN,,http://www.airport-weeze.de/de,https://en.wikipedia.org/wiki/Airport_Weeze,"LRC, ETUL, Niederrhein Airport, RAF Laarbruch, Düsseldorf Regional"
2247,EDLW,medium_airport,Dortmund Airport,51.518299,7.61224,425,EU,DE,DE-NW,Dortmund,yes,EDLW,DTM,,https://www.dortmund-airport.com/,https://en.wikipedia.org/wiki/Dortmund_Airport,
2256,EDNY,medium_airport,Friedrichshafen Airport,47.671299,9.51149,1367,EU,DE,DE-BW,Friedrichshafen,yes,EDNY,FDH,,https://www.bodensee-airport.eu,https://en.wikipedia.org/wiki/Friedrichshafen_Airport,Bodensee Airport Friedrichshafen
2270,EDSB,medium_airport,Karlsruhe Baden-Baden Airport,48.7794,8.0805,408,EU,DE,DE-BW,Rheinmünster,yes,EDSB,FKB,,http://www.baden-airpark.de/startseite.html,https://en.wikipedia.org/wiki/Baden_Airpark,Baden Airpark
2285,EDVK,medium_airport,Kassel Airport,51.420699,9.392152,820,EU,DE,DE-HE,Calden,yes,EDVK,KSF,,http://www.flughafenkassel.de/,https://en.wikipedia.org/wiki/Kassel_Airport,Kassel-Calden
2288,EDWE,small_airport,Emden Airport,53.391109,7.2275,3,EU,DE,DE-NI,Emden,yes,EDWE,EME,,,https://en.wikipedia.org/wiki/Emden_Airport,
28751,EDWG,small_airport,Wangerooge Airport,53.782544,7.919584,7,EU,DE,DE-NI,Wangerooge,yes,EDWG,AGE,,https://www.edwg.de,https://en.wikipedia.org/wiki/Wangerooge_Airfield,
28614,EDWJ,small_airport,Juist Airport,53.681421,7.056398,7,EU,DE,DE-NI,Juist,yes,EDWJ,JUI,,,https://de.wikipedia.org/wiki/Flugplatz_Juist,
2291,EDWR,small_airport,Borkum Airport,53.59639,6.709167,3,EU,DE,DE-NI,Borkum,yes,EDWR,BMK,,,https://en.wikipedia.org/wiki/Borkum_Airfield,Borkum
28668,EDWS,small_airport,Norden-Norddeich Airport,53.633057,7.190278,3,EU,DE,DE-NI,Norddeich,yes,EDWS,NOD,,,https://en.wikipedia.org/wiki/Norden-Norddeich_Airfield,
2292,EDWY,small_airport,Norderney Airport,53.706944,7.23,7,EU,DE,DE-NI,Norderney,yes,EDWY,NRD,,https://flughafen-norderney.de/,https://en.wikipedia.org/wiki/Norderney_Airport,
28520,EDWZ,small_airport,Baltrum Airport,53.72485,7.373257,7,EU,DE,DE-NI,Baltrum,yes,EDWZ,BMR,,https://www.baltrum-flug.de/,https://de.wikipedia.org/wiki/Flugplatz_Baltrum,
28590,EDXB,small_airport,Heide-Büsum Airport,54.153331756600000,8.90166664124,7,EU,DE,DE-SH,Büsum,yes,EDXB,HEI,,http://www.edxb.de,https://en.wikipedia.org/wiki/Heide-Buesum_Airport,
28591,EDXH,small_airport,Helgoland-Düne Airport,54.185279846200000,7.91583299637,8,EU,DE,DE-SH,Helgoland,yes,EDXH,HGL,,http://www.flughafen-helgoland.de,https://en.wikipedia.org/wiki/Heligoland_Airport,
2296,EDXW,medium_airport,Westerland Sylt Airport,54.9132,8.34047,51,EU,DE,DE-SH,Westerland,yes,EDXW,GWT,,https://www.flughafen-sylt.de,https://en.wikipedia.org/wiki/Sylt_Airport,
2298,EEKA,medium_airport,Kärdla Airport,58.99079895019530,22.830699920654300,18,EU,EE,EE-39,Kärdla,yes,EEKA,KDL,,,https://en.wikipedia.org/wiki/K%C3%A4rdla_Airport,
2299,EEKE,medium_airport,Kuressaare Airport,58.22990036010740,22.50950050354000,14,EU,EE,EE-74,Kuressaare,yes,EEKE,URE,,http://www.eeke.ee/,https://en.wikipedia.org/wiki/Kuressaare_Airport,
2300,EEPU,medium_airport,Pärnu Airport,58.41899871826170,24.47279930114750,47,EU,EE,EE-67,Pärnu,yes,EEPU,EPU,,,https://en.wikipedia.org/wiki/P%C3%A4rnu_Airport,
2301,EETN,large_airport,Lennart Meri Tallinn Airport,59.41443,24.832706,131,EU,EE,EE-37,Tallinn,yes,EETN,TLL,,http://www.tallinn-airport.ee/eng,https://en.wikipedia.org/wiki/Tallinn_Airport,
2302,EETU,medium_airport,Tartu Airport,58.307499,26.690399,220,EU,EE,EE-7B,Tartu,yes,EETU,TAY,,,https://en.wikipedia.org/wiki/Tartu_Airport,
2303,EFET,medium_airport,Enontekio Airport,68.362602233887,23.424299240112,1005,EU,FI,FI-10,Enontekio,yes,EFET,ENF,,http://www.finavia.fi/en/enontekio/,https://en.wikipedia.org/wiki/Enonteki%C3%B6_Airport,
2307,EFHK,large_airport,Helsinki Vantaa Airport,60.318363,24.963341,179,EU,FI,FI-18,Helsinki,yes,EFHK,HEL,,http://www.finavia.fi/en/helsinki-airport,https://en.wikipedia.org/wiki/Helsinki_Airport,
2314,EFIV,medium_airport,Ivalo Airport,68.607299804688,27.405300140381,481,EU,FI,FI-10,Ivalo,yes,EFIV,IVL,,http://www.finavia.fi/en/ivalo/,https://en.wikipedia.org/wiki/Ivalo_Airport,
